x,y,yaw,k,s,max_v
122.13416286592113,362.7943572349461,1.5959965197986379,7.040157956581481e-07,0.0,150.0
122.13164310984477,362.8943254840522,1.5959965893441768,6.868949802301326e-07,0.1,150.0
122.12912334690165,362.99429373298506,1.595996657177634,6.697741648021039e-07,0.2,150.0
122.12660357726291,363.0942619817493,1.5959967232990098,6.526533493740625e-07,0.30000000000000004,150.0
122.12408380109973,363.19423023034904,1.5959967877083039,6.355325339460097e-07,0.4,150.0
122.12156401858321,363.29419847878853,1.5959968504055164,6.184117185179463e-07,0.5,150.0
122.11904422988457,363.3941667270723,1.5959969113906476,6.012909030898733e-07,0.6000000000000001,150.0
122.11652443517491,363.49413497520453,1.5959969706636972,5.841700876617916e-07,0.7000000000000001,150.0
122.1140046346254,363.59410322318945,1.5959970282246652,5.670492722337023e-07,0.8,150.0
122.11148482840721,363.69407147103163,1.5959970840735516,5.499284568056058e-07,0.9,150.0
122.10896501669149,363.7940397187352,1.5959971382103564,5.328076413775028e-07,1.0,150.0
122.10644519964934,363.89400796630446,1.5959971906350798,5.156868259493945e-07,1.1,150.0
122.10392537745201,363.99397621374385,1.5959972413477217,4.985660105212812e-07,1.2000000000000002,150.0
122.10140555027058,364.0939444610576,1.595997290348282,4.814451950931634e-07,1.3,150.0
122.09888571827624,364.1939127082499,1.5959973376367607,4.6432437966504196e-07,1.4000000000000001,150.0
122.09636588164011,364.2938809553254,1.5959973832131578,4.4720356423691707e-07,1.5,150.0
122.09384604053338,364.3938492022881,1.5959974270774735,4.3008274880878953e-07,1.6,150.0
122.09132619512718,364.49381744914234,1.5959974692297076,4.129619333806595e-07,1.7000000000000002,150.0
122.08880634559269,364.5937856958926,1.5959975096698602,3.958411179525274e-07,1.8,150.0
122.08628649210101,364.6937539425432,1.5959975483979312,3.787203025243937e-07,1.9000000000000001,150.0
122.08376663482336,364.7937221890982,1.5959975854139208,3.615994870962587e-07,2.0,150.0
122.08124677393087,364.89369043556223,1.5959976207178286,3.4447867166812256e-07,2.1,150.0
122.07872690959465,364.9936586819394,1.595997654309655,3.273578562399857e-07,2.2,150.0
122.07620704198592,365.0936269282341,1.5959976861893999,3.102370408118483e-07,2.3000000000000003,150.0
122.07368717127581,365.1935951744506,1.5959977163570631,2.931162253837107e-07,2.4000000000000004,150.0
122.07116729763544,365.2935634205932,1.595997744812645,2.759954099555728e-07,2.5,150.0
122.06864742123601,365.3935316666663,1.595997771556145,2.588745945274349e-07,2.6,150.0
122.06612754224867,365.4934999126742,1.5959977965875638,2.4175377909929704e-07,2.7,150.0
122.06360766084453,365.5934681586211,1.595997819906901,2.2463296367115936e-07,2.8000000000000003,150.0
122.0610877771948,365.6934364045115,1.5959978415141567,2.075121482430219e-07,2.9000000000000004,150.0
122.05856789147059,365.79340465034954,1.5959978614093306,1.9039133282526456e-07,3.0,150.0
122.05604800384307,365.8933728961396,1.5959978795924232,1.7327051739496343e-07,3.1,150.0
122.05352811448341,365.99334114188605,1.5959978960634342,1.561497019646626e-07,3.2,150.0
122.05100822356275,366.0933093875931,1.5959979108223636,1.390288865343622e-07,3.3000000000000003,150.0
122.04848833125222,366.1932776332651,1.5959979238692115,1.2190807110406215e-07,3.4000000000000004,150.0
122.045968437723,366.2932458789064,1.5959979352039777,1.0478725567376257e-07,3.5,150.0
122.04344854314627,366.3932141245213,1.5959979448266626,8.766644024346323e-08,3.6,150.0
122.04092864769312,366.49318237011414,1.5959979527372659,7.054562481316419e-08,3.7,150.0
122.03840875153476,366.5931506156892,1.5959979589357876,5.3424809382865376e-08,3.8000000000000003,150.0
122.03588885484231,366.69311886125075,1.5959979634222277,3.63039939525668e-08,3.9000000000000004,150.0
122.03336895778693,366.7930871068032,1.5959979661965864,1.918317852226837e-08,4.0,150.0
122.0308490605398,366.8930553523507,1.5959979672588633,2.062363091969916e-09,4.1000000000000005,150.0
122.02832916327203,366.99302359789783,1.595997966609059,-1.5058452338328425e-08,4.2,150.0
122.02580926615482,367.0929918434487,1.5959979642471729,-3.217926776862676e-08,4.3,150.0
122.02328936935926,367.19296008900767,1.5959979601732053,-4.9300083198925365e-08,4.4,150.0
122.02076947305659,367.2929283345791,1.5959979543871563,-6.642089862922402e-08,4.5,150.0
122.01824957741789,367.39289658016725,1.5959979468890257,-8.354171405952302e-08,4.6000000000000005,150.0
122.01572968261436,367.49286482577645,1.5959979376788134,-1.0066252948982219e-07,4.7,150.0
122.01320978881712,367.592833071411,1.5959979267565199,-1.1778334492012177e-07,4.800000000000001,150.0
122.01068989619735,367.69280131707524,1.5959979141221445,-1.349041603504216e-07,4.9,150.0
122.0081700049262,367.79276956277346,1.5959978997756876,-1.5202497578072173e-07,5.0,150.0
122.00565011517482,367.89273780851,1.5959978837171493,-1.6914579121102246e-07,5.1000000000000005,150.0
122.00313022711434,367.99270605428916,1.5959978659465295,-1.8626660664132336e-07,5.2,150.0
122.00061034091594,368.0926743001152,1.595997846463828,-2.0338742207162472e-07,5.300000000000001,150.0
121.99809045675076,368.19264254599256,1.595997825269045,-2.205082375019263e-07,5.4,150.0
121.99557057478997,368.2926107919255,1.5959978023621806,-2.3762905293222818e-07,5.5,150.0
121.99305069520472,368.3925790379183,1.5959977777432344,-2.547498683625304e-07,5.6000000000000005,150.0
121.99053081816616,368.4925472839753,1.5959977514122068,-2.7187068379283253e-07,5.7,150.0
121.98801094384545,368.59251553010085,1.5959977233690976,-2.889914992231348e-07,5.800000000000001,150.0
121.98549107241372,368.6924837762991,1.595997693613907,-3.061123146534369e-07,5.9,150.0
121.9829712040417,368.79245202257454,1.5959976622099867,-3.1732771247036667e-07,6.0,150.0
121.98045133881973,368.89242026892936,1.595997630997375,-3.0692452439095134e-07,6.1000000000000005,150.0
121.97793147666603,368.9923885153616,1.5959976008250818,-2.965213363115355e-07,6.2,150.0
121.9754116174766,369.0923567618685,1.5959975716931076,-2.86118148232119e-07,6.300000000000001,150.0
121.97289176114744,369.1923250084475,1.5959975436014522,-2.757149601527022e-07,6.4,150.0
121.97037190757456,369.29229325509596,1.5959975165501155,-2.653117720732851e-07,6.5,150.0
121.96785205665395,369.3922615018112,1.5959974905390977,-2.5490858399386764e-07,6.6000000000000005,150.0
121.96533220828162,369.49222974859083,1.5959974655683986,-2.4450539591445013e-07,6.7,150.0
121.96281236235357,369.59219799543195,1.5959974416380185,-2.3410220783503253e-07,6.800000000000001,150.0
121.96029251876577,369.6921662423322,1.595997418747957,-2.2369901975561497e-07,6.9,150.0
121.95777267741428,369.7921344892887,1.5959973968982146,-2.1329583167619747e-07,7.0,150.0
121.95525283819507,369.892102736299,1.5959973760887909,-2.0289264359677989e-07,7.1000000000000005,150.0
121.95273300100413,369.9920709833604,1.5959973563196859,-1.9248945551736262e-07,7.2,150.0
121.9502131657375,370.0920392304703,1.5959973375908998,-1.8208626743794538e-07,7.300000000000001,150.0
121.94769333229112,370.1920074776261,1.5959973199024324,-1.716830793585284e-07,7.4,150.0
