X,Y
507.25,170.466
507.15,170.469
507.05,170.472
506.95,170.475
506.851,170.478
506.751,170.481
506.651,170.484
506.551,170.487
506.451,170.49
506.351,170.494
506.251,170.497
506.151,170.5
506.051,170.503
505.951,170.506
505.851,170.508
505.751,170.511
505.651,170.514
505.551,170.517
505.451,170.52
505.351,170.523
505.251,170.525
505.151,170.528
505.051,170.531
504.951,170.534
504.851,170.536
504.751,170.539
504.651,170.542
504.551,170.545
504.452,170.548
504.352,170.551
504.252,170.554
504.152,170.557
504.052,170.559
503.952,170.562
503.852,170.565
503.752,170.568
503.652,170.571
503.552,170.574
503.452,170.577
503.352,170.58
503.252,170.583
503.152,170.586
503.052,170.588
502.952,170.591
502.852,170.594
502.752,170.597
502.652,170.6
502.552,170.603
502.452,170.606
502.352,170.609
502.252,170.611
502.152,170.614
502.053,170.617
501.953,170.62
501.853,170.623
501.753,170.626
501.653,170.629
501.553,170.632
501.453,170.634
501.353,170.637
501.253,170.64
501.153,170.643
501.053,170.646
500.953,170.649
500.853,170.652
500.753,170.655
500.653,170.658
500.553,170.661
500.453,170.664
500.353,170.666
500.253,170.669
500.153,170.672
500.053,170.675
499.953,170.678
499.853,170.681
499.753,170.684
499.654,170.687
499.554,170.689
499.454,170.692
499.354,170.695
499.254,170.698
499.154,170.701
499.054,170.703
498.954,170.706
498.854,170.709
498.754,170.712
498.654,170.715
498.554,170.717
498.454,170.72
498.354,170.723
498.254,170.726
498.154,170.729
498.054,170.732
497.954,170.735
497.854,170.738
497.754,170.741
497.654,170.744
497.554,170.746
497.454,170.749
497.354,170.752
497.255,170.755
497.155,170.758
497.055,170.761
496.955,170.764
496.855,170.767
496.755,170.77
496.655,170.773
496.555,170.776
496.455,170.779
496.355,170.782
496.255,170.784
496.155,170.787
496.055,170.79
495.955,170.793
495.855,170.796
495.755,170.798
495.655,170.801
495.555,170.804
495.455,170.807
495.355,170.81
495.255,170.813
495.155,170.815
495.055,170.818
494.955,170.821
494.856,170.824
494.756,170.827
494.656,170.83
494.556,170.833
494.456,170.836
494.356,170.838
494.256,170.841
494.156,170.844
494.056,170.847
493.956,170.849
493.856,170.852
493.756,170.855
493.656,170.858
493.556,170.861
493.456,170.864
493.356,170.866
493.256,170.869
493.156,170.872
493.056,170.875
492.956,170.878
492.856,170.881
492.756,170.884
492.656,170.887
492.556,170.889
492.456,170.892
492.357,170.895
492.257,170.898
492.157,170.901
492.057,170.904
491.957,170.907
491.857,170.91
491.757,170.913
491.657,170.916
491.557,170.918
491.457,170.921
491.357,170.923
491.257,170.925
491.157,170.927
491.057,170.929
490.957,170.93
490.857,170.932
490.757,170.934
490.657,170.937
490.557,170.939
490.457,170.941
490.357,170.944
490.257,170.947
490.157,170.95
490.057,170.953
489.957,170.956
489.857,170.959
489.757,170.962
489.657,170.965
489.557,170.968
489.458,170.971
489.358,170.974
489.258,170.977
489.158,170.98
489.058,170.982
488.958,170.985
488.858,170.987
488.758,170.989
488.658,170.992
488.558,170.994
488.458,170.996
488.358,170.999
488.258,171.001
488.158,171.003
488.058,171.006
487.958,171.008
487.858,171.01
487.758,171.013
487.658,171.015
487.558,171.017
487.458,171.02
487.358,171.022
487.258,171.025
487.158,171.027
487.058,171.03
