nid,nx,ny
10,23.4252431477187,49.1653854770946
11,51.3730243950394,505.859651364574
12,97.0674375792175,512.186075775414
13,111.441376506258,500.866006620815
14,121.644833749824,512.741309810156
15,154.03031547293,507.525648659263
16,50.2202222484895,396.985508058484
17,58.9156353355826,391.436424533937
18,50.8414439963943,376.564676806012
19,95.0280742085013,391.991669405718
20,115.878977147928,410.969990167549
21,130.963042944337,393.10198074448
22,109.224867324988,372.347886730004
23,150.660730419027,393.435259308368
24,160.5092968246,408.085171465463
25,161.13085186032,384.223881266992
26,57.1418531380904,276.014310761862
27,96.9814934476071,271.131433895717
28,111.710504006096,279.344342564738
29,127.681927669365,272.463637751468
30,111.710812458189,256.148941796734
31,160.511775821311,278.346288204739
32,33.3627693572071,163.921584217811
33,60.4257378916346,152.268545446945
34,76.3972723275533,155.154227254459
35,82.1649194787222,140.726523065307
36,68.1454785957792,133.401535704779
37,112.511238585007,117.420496028687
38,9.58296159848975,130.18276487121
39,12.3336395380532,121.304148070759
40,3.46051852792212,118.973501898774
41,41.1713620841178,105.766654511015
42,58.9175672358517,115.977173438671
43,61.4909245215581,95.4453828576386
44,44.898163240617,90.2290885803054
45,84.1175774233119,83.2374765826502
46,99.7342967368164,87.1220436397215
47,88.5543421783094,65.8132310257763
48,-10.5590668966447,80.1295451748845
49,20.497060947356,60.1526693624423
50,32.0321861219487,64.7029979344455
51,36.2913675363733,52.1619652427296
52,67.7913190343775,38.6222659338021
53,0,0.18489667872613
