(8.0, ',', 87, ',', 0, ',', 23.284206867218018)
(8.0, ',', 87, ',', 0, ',', 23.487770795822144)
(8.0, ',', 93, ',', 0, ',', 23.684855937957764)
(8.0, ',', 80, ',', 0, ',', 23.907014846801758)
(8.0, ',', 87, ',', 0, ',', 24.08624792098999)
(8.0, ',', 80, ',', 0, ',', 24.285091876983643)
(8.0, ',', 80, ',', 0, ',', 24.48539090156555)
(8.0, ',', 80, ',', 0, ',', 24.68491792678833)
(8.0, ',', 74, ',', 0, ',', 24.89162588119507)
(8.0, ',', 74, ',', 0, ',', 25.086007833480835)
(8.0, ',', 74, ',', 0, ',', 25.489378929138184)
(8.0, ',', 74, ',', 0, ',', 25.685059785842896)
(8.0, ',', 74, ',', 0, ',', 25.91515278816223)
(8.0, ',', 68, ',', 0, ',', 26.086273908615112)
(8.0, ',', 68, ',', 0, ',', 26.280765771865845)
(8.0, ',', 68, ',', 0, ',', 26.489519834518433)
(8.0, ',', 62, ',', 0, ',', 26.686450958251953)
(8.0, ',', 62, ',', 0, ',', 26.885926961898804)
(8.0, ',', 55, ',', 0, ',', 27.08494997024536)
(8.0, ',', 55, ',', 0, ',', 27.284077882766724)
(8.0, ',', 55, ',', 0, ',', 27.49620294570923)
(8.0, ',', 49, ',', 0, ',', 27.6886088848114)
(8.0, ',', 49, ',', 0, ',', 27.91532588005066)
(150, ',', 43, ',', 0, ',', 28.08655095100403)
(150, ',', 49, ',', 0, ',', 28.286252975463867)
(150, ',', 43, ',', 0, ',', 28.492486000061035)
(150, ',', 43, ',', 150, ',', 28.696016788482666)
(150, ',', 37, ',', 150, ',', 28.887191772460938)
(150, ',', 37, ',', 150, ',', 29.08530592918396)
(150, ',', 37, ',', 150, ',', 29.286376953125)
(150, ',', 37, ',', 150, ',', 29.48955798149109)
(150, ',', 43, ',', 150, ',', 29.692970991134644)
(150, ',', 55, ',', 150, ',', 29.8941969871521)
(150, ',', 55, ',', 150, ',', 30.083338975906372)
(150, ',', 68, ',', 150, ',', 30.488635778427124)
(150, ',', 68, ',', 150, ',', 30.685431957244873)
(150, ',', 74, ',', 150, ',', 30.890132904052734)
(150, ',', 74, ',', 150, ',', 31.089273929595947)
(150, ',', 74, ',', 150, ',', 31.283199787139893)
(150, ',', 80, ',', 150, ',', 31.489367961883545)
(150, ',', 80, ',', 150, ',', 31.68888282775879)
(150, ',', 80, ',', 150, ',', 31.900101900100708)
(150, ',', 80, ',', 150, ',', 32.086702823638916)
(150, ',', 80, ',', 150, ',', 32.28537893295288)
(150, ',', 87, ',', 150, ',', 32.490630865097046)
(150, ',', 87, ',', 150, ',', 32.68619990348816)
(150, ',', 87, ',', 150, ',', 32.88612699508667)
(150, ',', 93, ',', 150, ',', 33.087018966674805)
(150, ',', 93, ',', 150, ',', 33.2853319644928)
(150, ',', 87, ',', 150, ',', 33.486238956451416)
(150, ',', 93, ',', 150, ',', 33.686593770980835)
(150, ',', 93, ',', 150, ',', 33.91845989227295)
(150, ',', 93, ',', 150, ',', 34.087010860443115)
(150, ',', 93, ',', 150, ',', 34.28515577316284)
(150, ',', 99, ',', 150, ',', 34.49187684059143)
(150, ',', 99, ',', 150, ',', 34.68139386177063)
(150, ',', 99, ',', 150, ',', 34.885960817337036)
(150, ',', 99, ',', 150, ',', 35.08787679672241)
(150, ',', 105, ',', 150, ',', 35.28142690658569)
(150, ',', 111, ',', 150, ',', 35.49088191986084)
(150, ',', 105, ',', 150, ',', 35.91748285293579)
(150, ',', 111, ',', 150, ',', 36.085906982421875)
(150, ',', 118, ',', 150, ',', 36.28510284423828)
(150, ',', 111, ',', 150, ',', 36.491177797317505)
(150, ',', 118, ',', 150, ',', 36.687076807022095)
(150, ',', 118, ',', 150, ',', 36.88627791404724)
(150, ',', 118, ',', 150, ',', 37.08687877655029)
(150, ',', 124, ',', 150, ',', 37.28586483001709)
(150, ',', 124, ',', 150, ',', 37.49195098876953)
(150, ',', 118, ',', 150, ',', 37.6884069442749)
(150, ',', 124, ',', 150, ',', 37.91755199432373)
(150, ',', 124, ',', 150, ',', 38.08727288246155)
(150, ',', 130, ',', 150, ',', 38.287800788879395)
(150, ',', 130, ',', 150, ',', 38.49178600311279)
(150, ',', 130, ',', 150, ',', 38.68835091590881)
(150, ',', 130, ',', 150, ',', 38.88414478302002)
(150, ',', 130, ',', 150, ',', 39.08616495132446)
(150, ',', 136, ',', 150, ',', 39.28797388076782)
(150, ',', 130, ',', 150, ',', 39.489468812942505)
(150, ',', 130, ',', 150, ',', 39.68806982040405)
(150, ',', 124, ',', 150, ',', 39.91925382614136)
(150, ',', 99, ',', 150, ',', 40.08903789520264)
(150, ',', 62, ',', 150, ',', 40.28757882118225)
(150, ',', 24, ',', 150, ',', 40.49229383468628)
(150, ',', 6, ',', 150, ',', 40.69091081619263)
(150, ',', 6, ',', 150, ',', 40.88657879829407)
(150, ',', 6, ',', 150, ',', 41.08717894554138)
(150, ',', 0, ',', 150, ',', 41.28801679611206)
(150, ',', 0, ',', 150, ',', 41.490930795669556)
(150, ',', 0, ',', 150, ',', 41.685579776763916)
(150, ',', 0, ',', 150, ',', 41.90228080749512)
(150, ',', 0, ',', 150, ',', 42.088204860687256)
(150, ',', 0, ',', 150, ',', 42.28746294975281)
(150, ',', 0, ',', 150, ',', 42.488757848739624)
(150, ',', 0, ',', 150, ',', 42.687328815460205)
(150, ',', 0, ',', 150, ',', 42.8881618976593)
(150, ',', 0, ',', 150, ',', 43.08818197250366)
(150, ',', 0, ',', 150, ',', 43.28652787208557)
(150, ',', 0, ',', 150, ',', 43.4926278591156)
(150, ',', 0, ',', 150, ',', 43.69593095779419)
(150, ',', 0, ',', 150, ',', 43.91766095161438)
(150, ',', 0, ',', 150, ',', 44.09025478363037)
(150, ',', 0, ',', 150, ',', 44.284116983413696)
(150, ',', 0, ',', 150, ',', 44.49320578575134)
(150, ',', 0, ',', 150, ',', 44.693174839019775)
(150, ',', 0, ',', 150, ',', 44.887146949768066)
(150, ',', 0, ',', 150, ',', 45.08723592758179)
(150, ',', 0, ',', 150, ',', 45.28551697731018)
(150, ',', 0, ',', 150, ',', 45.49242186546326)
(150, ',', 0, ',', 150, ',', 45.685202836990356)
(150, ',', 0, ',', 150, ',', 45.90424394607544)
(150, ',', 0, ',', 150, ',', 46.08397579193115)
(150, ',', 0, ',', 150, ',', 46.28648281097412)
(150, ',', 0, ',', 150, ',', 46.49302697181702)
(150, ',', 0, ',', 150, ',', 46.69427800178528)
(150, ',', 0, ',', 150, ',', 46.88533282279968)
(150, ',', 0, ',', 150, ',', 47.087212800979614)
(150, ',', 0, ',', 150, ',', 47.28829383850098)
(150, ',', 0, ',', 150, ',', 47.49258899688721)
(150, ',', 0, ',', 150, ',', 47.6883978843689)
