X,Y,yaw,K,s,type
516.0,594.0,-2.643977531910564,0.0,0.0,0
511.60638281653854,591.6133437521938,-2.643977531910564,0.0,5.0,0
507.21276563307714,589.2266875043875,-2.643977531910564,0.0,10.0,0
502.8191484496157,586.8400312565814,-2.643977531910564,0.0,15.0,0
498.4255312661543,584.4533750087752,-2.643977531910564,0.0,20.0,0
494.0319140826928,582.0667187609689,-2.643977531910564,0.0,25.0,0
489.6382968992314,579.6800625131627,-2.643977531910564,0.0,30.0,0
485.24467971576996,577.2934062653566,-2.643977531910564,0.0,35.0,0
480.85106253230856,574.9067500175503,-2.643977531910564,0.0,40.0,0
476.4574453488471,572.5200937697441,-2.643977531910564,0.0,45.0,0
472.06382816538564,570.1334375219379,-2.643977531910564,0.0,50.0,0
467.67021098192424,567.7467812741316,-2.643977531910564,0.0,55.0,0
463.2765937984628,565.3601250263255,-2.643977531910564,0.0,60.0,0
458.8829766150014,562.9734687785193,-2.643977531910564,0.0,65.0,0
454.4893594315399,560.586812530713,-2.643977531910564,0.0,70.0,0
450.0957422480785,558.2001562829068,-2.643977531910564,0.0,75.0,0
445.70212506461706,555.8135000351007,-2.643977531910564,0.0,80.0,0
441.3085078811556,553.4268437872944,-2.643977531910564,0.0,85.0,0
436.9148906976942,551.0401875394882,-2.643977531910564,0.0,90.0,0
432.52127351423275,548.653531291682,-2.643977531910564,0.0,95.0,0
428.12765633077134,546.2668750438758,-2.643977531910564,0.0,100.0,0
423.7340391473099,543.8802187960696,-2.643977531910564,0.0,105.0,0
419.3404219638485,541.4935625482634,-2.643977531910564,0.0,110.0,0
414.946804780387,539.1069063004571,-2.643977531910564,0.0,115.0,0
410.55318759692557,536.720250052651,-2.643977531910564,0.0,120.0,0
406.15957041346417,534.3335938048448,-2.643977531910564,0.0,125.0,0
401.76595323000276,531.9469375570385,-2.643977531910564,0.0,130.0,0
397.3723360465413,529.5602813092323,-2.643977531910564,0.0,135.0,0
392.97871886307985,527.1736250614262,-2.643977531910564,0.0,140.0,0
388.58510167961845,524.7869688136199,-2.643977531910564,0.0,145.0,0
384.191484496157,522.4003125658137,-2.643977531910564,0.0,150.0,0
379.79786731269553,520.0136563180075,-2.643977531910564,0.0,155.0,0
375.40425012923413,517.6270000702012,-2.643977531910564,0.0,160.0,0
371.0106329457727,515.2403438223951,-2.643977531910564,0.0,165.0,0
366.61701576231127,512.8536875745888,-2.643977531910564,0.0,170.0,0
362.2233985788498,510.4670313267826,-2.643977531910564,0.0,175.0,0
357.8297813953884,508.08037507897643,-2.643977531910564,0.0,180.0,0
354.0,506.0,-2.099345993310121,4.2537593384669164e-17,185.0,0
351.499071672367,501.62805797477824,-2.0724437922497376,0.01075463489779544,190.0,0
349.2544598126048,497.15915408202954,-1.9906572786740628,0.022040758988093902,195.0,0
347.5206573496077,492.49735361274713,-1.8570236369846331,0.028078395416696586,200.0,0
346.428420446691,487.6164199968957,-1.7289653744495306,0.023178846992147065,205.0,0
345.90868411741127,482.6031244352257,-1.6215519785126806,0.021105376246842607,210.0,0
345.9393198394845,477.5603315633343,-1.5040399706420124,0.025681433594836968,215.0,0
346.6158698262776,472.6013295271517,-1.3616690870041523,0.031294903354773695,220.0,0
348.0289080931298,467.832202847265,-1.208672414711661,0.026589409440877343,225.0,0
350.069840065743,463.2635504124281,-1.1011094511321033,0.016490309431963397,230.0,0
352.50252045903903,458.8448206045208,-1.0418230639135013,0.007139835737992275,235.0,0
355.1091081998791,454.52863690654084,-1.0140608749392337,0.005255562392968524,240.0,0
357.8196364648809,450.29789765030694,-0.9880991906052069,0.005075276631755707,245.0,0
360.62933390271036,446.1488488807339,-0.9631503102926324,0.00487994872357368,250.0,0
363.53371419521403,442.0777949986469,-0.9392607773164087,0.004671963707566849,255.0,0
366.5282910242384,438.0810404048708,-0.9164690757437103,0.004453617064561475,260.0,0
369.6085780716299,434.154889500231,-0.8948061320607931,0.004227063028379966,265.0,0
372.7700890192349,430.29564668555236,-0.8742959297629577,0.003994276104690879,270.0,0
376.00833754889993,426.49961636166006,-0.8549562008786403,0.003757025188584609,275.0,0
379.3188373424714,422.7631029293792,-0.8367991617330808,0.003516859023756175,280.0,0
382.6971020817957,419.0824107895348,-0.8198322646347539,0.003275101351513069,285.0,0
386.13864544871944,415.453844342952,-0.8040589420704697,0.0030328539251619673,290.0,0
389.638981125089,411.87370799045584,-0.7894793249669227,0.0027910055686977495,295.0,0
393.19362279275083,408.3383061328715,-0.7760909212786061,0.002550245588042818,300.0,0
396.79808413355136,404.8439431710239,-0.7638892453691659,0.0023110800514459964,305.0,0
400.447878829337,401.38692350573837,-0.7528683922394056,0.0020738497035801655,310.0,0
404.13852056195435,397.96355153783975,-0.7430215535734278,0.0018387485351404349,315.0,0
407.8655230132497,394.5701316681533,-0.7343414748357744,0.0016058422753154646,320.0,0
411.6243998650695,391.202968297504,-0.7268208543061978,0.0013750862954511717,325.0,0
415.4106647992603,387.8583658267171,-0.720452686056004,0.0011463426020719585,330.0,0
419.2198314976685,384.5326286566175,-0.7152305495312092,0.0009193957544115978,335.0,0
423.0474136421406,381.2220611880303,-0.711148848693917,0.0006939676671072582,340.0,0
426.8889249145231,377.9229678217807,-0.7082030036600161,0.00046973135591715624,345.0,0
430.73987899666224,374.63165295869373,-0.7063895975258551,0.0002463237572383082,350.0,0
434.59578957040463,371.3444209995945,-0.7057064806569592,2.335780491925492e-05,355.0,0
