X,Y,yaw,K,s,type
216.8579231,455.79122,0.973294269,-0.000276475,530,0
217,456,0.51238946,0,535,0
221.3578777,458.4513062,0.51238946,0,540,0
225.7157554,460.9026124,0.51238946,0,545,0
230.0736331,463.3539186,0.51238946,0,550,0
234.4315107,465.8052248,0.51238946,0,555,0
238.7893884,468.256531,0.51238946,0,560,0
243.1472661,470.7078372,0.51238946,0,565,0
247.5051438,473.1591434,0.51238946,0,570,0
251.8630215,475.6104496,0.51238946,0,575,0
256.2208992,478.0617558,0.51238946,0,580,0
260.5787769,480.513062,0.51238946,0,585,0
264.9366545,482.9643682,0.51238946,0,590,0
269.2945322,485.4156744,0.51238946,0,595,0
273.6524099,487.8669806,0.51238946,0,600,0
278.0102876,490.3182868,0.51238946,0,605,0
282.3681653,492.769593,0.51238946,0,610,0
286.726043,495.2208992,0.51238946,0,615,0
291.0839207,497.6722054,0.51238946,0,620,0
295.4417983,500.1235116,0.51238946,0,625,0
299.799676,502.5748178,0.51238946,0,630,0
304.1575537,505.026124,0.51238946,0,635,0
308.5154314,507.4774302,0.51238946,0,640,0
312.8733091,509.9287364,0.51238946,0,645,0
317.2311868,512.3800426,0.51238946,0,650,0
321.5890645,514.8313488,0.51238946,0,655,0
325.9469421,517.282655,0.51238946,0,660,0
330.3048198,519.7339612,0.51238946,0,665,0
334.6626975,522.1852674,0.51238946,0,670,0
339.0205752,524.6365735,0.51238946,0,675,0
343.3784529,527.0878797,0.51238946,0,680,0
347.7363306,529.5391859,0.51238946,0,685,0
352.0942083,531.9904921,0.51238946,0,690,0
356.4520859,534.4417983,0.51238946,0,695,0
360.8099636,536.8931045,0.51238946,0,700,0
365.1678413,539.3444107,0.51238946,0,705,0
369.525719,541.7957169,0.51238946,0,710,0
373.8835967,544.2470231,0.51238946,0,715,0
378.2414744,546.6983293,0.51238946,0,720,0
382.5993521,549.1496355,0.51238946,0,725,0
386.9572297,551.6009417,0.51238946,0,730,0
391.3151074,554.0522479,0.51238946,0,735,0
395.6729851,556.5035541,0.51238946,0,740,0
400.0308628,558.9548603,0.51238946,0,745,0
404.3887405,561.4061665,0.51238946,0,750,0
408.7466182,563.8574727,0.51238946,0,755,0
413.1044959,566.3087789,0.51238946,0,760,0
417.4623735,568.7600851,0.51238946,0,765,0
421.8202512,571.2113913,0.51238946,0,770,0
426.1781289,573.6626975,0.51238946,0,775,0
430.5360066,576.1140037,0.51238946,0,780,0
434.8938843,578.5653099,0.51238946,0,785,0
439.251762,581.0166161,0.51238946,0,790,0
443.6096397,583.4679223,0.51238946,0,795,0
447.9675173,585.9192285,0.51238946,0,800,0
452.325395,588.3705347,0.51238946,0,805,0
456.6832727,590.8218409,0.51238946,0,810,0
461.0411504,593.2731471,0.51238946,0,815,0
465.3990281,595.7244533,0.51238946,0,820,0
469.7569058,598.1757595,0.51238946,0,825,0
474.1147835,600.6270657,0.51238946,0,830,0
478.4726611,603.0783719,0.51238946,0,835,0
482.8305388,605.5296781,0.51238946,0,840,0
487.1884165,607.9809843,0.51238946,0,845,0
