,,X,Y
1284,744,126.666121,37.3911428
1283.674952,743.6288767,126.66611774952,37.391139088767
1283.349897,743.257757,126.66611449897,37.39113537757
1283.024826,742.8866446,126.66611124826,37.391131666446
1282.699733,742.5155431,126.66610799733,37.391127955431
1282.374609,742.1444561,126.66610474609,37.391124244561
1282.049447,741.7733872,126.66610149447,37.391120533872
1281.72424,741.4023401,126.6660982424,37.391116823401
1281.398979,741.0313184,126.66609498979,37.391113113184
1281.073657,740.6603257,126.66609173657,37.391109403257
1280.748267,740.2893657,126.66608848267,37.391105693657
1280.422801,739.918442,126.66608522801,37.39110198442
1280.09725,739.5475582,126.6660819725,37.391098275582
1279.771609,739.176718,126.66607871609,37.39109456718
1279.445868,738.8059249,126.66607545868,37.391090859249
1279.120021,738.4351826,126.66607220021,37.391087151826
1278.79406,738.0644948,126.6660689406,37.391083444948
1278.467977,737.693865,126.66606567977,37.39107973865
1278.141765,737.3232969,126.66606241765,37.391076032969
1277.815415,736.9527942,126.66605915415,37.391072327942
1277.488921,736.5823604,126.66605588921,37.391068623604
1277.162275,736.2119992,126.66605262275,37.391064919992
1276.835468,735.8417141,126.66604935468,37.391061217141
1276.508495,735.4715089,126.66604608495,37.391057515089
1276.181346,735.1013872,126.66604281346,37.391053813872
1275.854014,734.7313526,126.66603954014,37.391050113526
1275.526492,734.3614087,126.66603626492,37.391046414087
1275.198773,733.9915592,126.66603298773,37.391042715592
1274.870847,733.6218076,126.66602970847,37.391039018076
1274.542709,733.2521576,126.66602642709,37.391035321576
1274.214349,732.8826129,126.66602314349,37.391031626129
1273.885762,732.5131771,126.66601985762,37.391027931771
1273.556938,732.1438537,126.66601656938,37.391024238537
1273.227871,731.7746465,126.66601327871,37.391020546465
1272.898552,731.405559,126.66600998552,37.39101685559
1272.568975,731.0365949,126.66600668975,37.391013165949
1272.239131,730.6677579,126.66600339131,37.391009477579
1271.909013,730.2990514,126.66600009013,37.391005790514
1271.578614,729.9304793,126.66599678614,37.391002104793
1271.247925,729.562045,126.66599347925,37.39099842045
1270.916939,729.1937523,126.66599016939,37.390994737523
1270.585649,728.8256047,126.66598685649,37.390991056047
1270.254047,728.4576059,126.66598354047,37.390987376059
