X,Y,yaw,K,s
1258.0,8804.0,-0.9786907996086388,0.0,0.0
1280.32437426273,8770.809303806976,-0.9786907996086388,0.0,40.0
1302.6487485254604,8737.618607613955,-0.9786907996086388,0.0,80.0
1324.9731227881905,8704.427911420931,-0.9786907996086388,0.0,120.0
1347.2974970509208,8671.237215227908,-0.9786907996086388,0.0,160.0
1369.621871313651,8638.046519034886,-0.9786907996086388,0.0,200.0
1391.9462455763812,8604.855822841862,-0.9786907996086388,0.0,240.0
1414.2706198391113,8571.665126648839,-0.9786907996086388,0.0,280.0
1436.5949941018416,8538.474430455817,-0.9786907996086388,0.0,320.0
1458.9193683645717,8505.283734262794,-0.9786907996086388,0.0,360.0
1481.243742627302,8472.09303806977,-0.9786907996086388,0.0,400.0
1503.5681168900321,8438.902341876747,-0.9786907996086388,0.0,440.0
1525.8924911527624,8405.711645683725,-0.9786907996086388,0.0,480.0
1548.2168654154925,8372.520949490701,-0.9786907996086388,0.0,520.0
1570.5412396782226,8339.330253297678,-0.9786907996086388,0.0,560.0
1592.865613940953,8306.139557104656,-0.9786907996086388,0.0,600.0
1615.1899882036832,8272.948860911632,-0.9786907996086388,0.0,640.0
1637.5143624664133,8239.758164718609,-0.9786907996086388,0.0,680.0
1659.8387367291434,8206.567468525587,-0.9786907996086388,0.0,720.0
1673.0,8187.0,-1.1881807673716664,7.216766044573273e-17,760.0
1687.276545217074,8148.382771424441,-1.2752971123829662,-0.00441961802588386,800.0
1694.0720794645752,8109.496084350479,-1.556444443379249,-0.009783122350479729,840.0
1688.0006317400214,8070.262630033389,-1.8409011513016726,-0.003299802670436385,880.0
1674.8421524593575,8032.16675409593,-2.0090879255183833,-0.008345448501637851,920.0
1652.2100996779454,7999.423409951702,-2.2749940098067034,-0.0006077785798389815,960.0
1651.0,7998.0,-2.7358911508824804,0.0,1000.0
1614.246969367464,7982.213463352467,-2.7358911508824804,0.0,1040.0
1577.4939387349282,7966.426926704936,-2.7358911508824804,0.0,1080.0
1540.7409081023923,7950.640390057403,-2.7358911508824804,0.0,1120.0
1503.9878774698564,7934.853853409872,-2.7358911508824804,0.0,1160.0
1467.2348468373204,7919.067316762339,-2.7358911508824804,0.0,1200.0
1430.4818162047845,7903.2807801148065,-2.7358911508824804,0.0,1240.0
1393.7287855722486,7887.494243467275,-2.7358911508824804,0.0,1280.0
1356.9757549397127,7871.707706819742,-2.7358911508824804,0.0,1320.0
1353.0,7870.0,-2.476186015690717,3.1151395986399836e-17,1360.0
1322.911299238226,7842.748237594168,-2.2568125913992265,0.011600761572386393,1400.0
1306.7631856877401,7806.845856270349,-1.7790230163603054,0.006654994228309401,1440.0
1304.8839645774315,7767.006923802888,-1.4029272329636524,0.011535405602841352,1480.0
1318.9535875654888,7729.419655778964,-1.0591116502617959,0.005663207744176519,1520.0
1331.0,7710.0,-0.995724037062506,0.0,1560.0
1352.7558181699828,7676.433880537741,-0.995724037062506,0.0,1600.0
1374.5116363399654,7642.867761075482,-0.995724037062506,0.0,1640.0
1396.2674545099483,7609.301641613223,-0.995724037062506,0.0,1680.0
1418.0232726799309,7575.735522150963,-0.995724037062506,0.0,1720.0
1436.0,7548.0,-1.0406712264665647,4.5372424077857445e-17,1760.0
1458.2426291052404,7514.757245297248,-0.8617508095015838,0.009103741250503531,1800.0
1490.7080516387475,7491.827561994388,-0.344198041203946,0.012777690517606442,1840.0
1530.3850862790646,7487.53557413495,0.08572311243090452,0.006640825873653647,1880.0
1569.6677475990316,7494.989871401414,0.2698217792953976,0.0031710094833417145,1920.0
1607.0,7507.0,0.3996070439396113,0.0,1960.0
1643.8485578873606,7522.562255030099,0.3996070439396113,0.0,2000.0
1680.6971157747212,7538.124510060198,0.3996070439396113,0.0,2040.0
1717.5456736620818,7553.686765090297,0.3996070439396113,0.0,2080.0
1754.3942315494423,7569.2490201203955,0.3996070439396113,0.0,2120.0
1791.242789436803,7584.811275150494,0.3996070439396113,0.0,2160.0
1813.0,7594.0,0.31599702699310916,9.39543466615219e-17,2200.0
1851.0884334473656,7606.341606259926,0.3080478056725782,-0.0003980287956380784,2240.0
1889.2657670412852,7618.039930274625,0.283212631625086,-0.0009646078726330254,2280.0
1927.927947897456,7628.218195101218,0.22535383679353171,-0.0019027569964572535,2320.0
1967.7512219737841,7634.853841491862,0.06942299391125707,-0.0067628335399330395,2360.0
2007.292690361418,7630.630996201333,-0.30587134990670367,-0.009791604896210695,2400.0
2042.8085876579128,7611.593542018661,-0.6708582362742455,-0.008595526357728684,2440.0
2069.8965546590807,7582.012641805822,-0.9734834021771734,-0.006490225070908031,2480.0
2088.5985667541668,7546.697829370223,-1.1661105389467508,-0.0025719200400714645,2520.0
2097.0,7526.0,-1.003258702010146,0.0,2560.0
2118.5022935504617,7492.270912077707,-1.003258702010146,0.0,2600.0
2140.0045871009233,7458.541824155414,-1.003258702010146,0.0,2640.0
2161.5068806513855,7424.812736233121,-1.003258702010146,0.0,2680.0
2183.009174201847,7391.083648310828,-1.003258702010146,0.0,2720.0
2199.0,7366.0,-1.0239346802224125,5.92593862495755e-20,2760.0
2219.8798928866436,7331.839335404703,-1.0186189965493817,0.00026567210309200433,2800.0
2241.1102505249537,7297.921366573787,-1.002654974190561,0.000532504479336933,2840.0
2263.041537666597,7264.4887892716315,-0.9760097116833132,0.0008003043102773424,2880.0
2286.00111034538,7231.768296546457,-0.9424527560132934,0.0007302880900259284,2920.0
2309.909476034336,7199.704840067436,-0.9199366647657266,0.00039589011325487453,2960.0
