X,Y,yaw,K,s
689.0,650.0,-2.5757383264817335,0.0,0.0
684.7793456399432,647.3193141226667,-2.5757383264817335,0.0,5.0
680.5586912798866,644.6386282453334,-2.5757383264817335,0.0,10.0
676.3380369198298,641.9579423680001,-2.5757383264817335,0.0,15.0
672.1173825597732,639.2772564906668,-2.5757383264817335,0.0,20.0
667.8967281997164,636.5965706133334,-2.5757383264817335,0.0,25.0
663.6760738396597,633.9158847360001,-2.5757383264817335,0.0,30.0
659.455419479603,631.2351988586668,-2.5757383264817335,0.0,35.0
655.2347651195463,628.5545129813335,-2.5757383264817335,0.0,40.0
651.0141107594897,625.8738271040002,-2.5757383264817335,0.0,45.0
646.7934563994329,623.1931412266669,-2.5757383264817335,0.0,50.0
642.5728020393761,620.5124553493335,-2.5757383264817335,0.0,55.0
638.3521476793195,617.8317694720002,-2.5757383264817335,0.0,60.0
634.1314933192627,615.1510835946669,-2.5757383264817335,0.0,65.0
629.9108389592061,612.4703977173335,-2.5757383264817335,0.0,70.0
625.6901845991493,609.7897118400002,-2.5757383264817335,0.0,75.0
621.4695302390926,607.1090259626669,-2.5757383264817335,0.0,80.0
617.248875879036,604.4283400853336,-2.5757383264817335,0.0,85.0
615.0,603.0,-2.636493081426066,-1.2108317862117646e-17,90.0
610.4566071706366,600.6407858350967,-2.716165364436136,-0.032239516872830415,95.0
605.7500429812795,599.1094740599727,-2.9695597523363197,-0.06984098713706381,100.0
600.7840619610322,599.0942914749237,2.996401229092215,-0.05100160649014155,105.0
595.888619922163,600.3911994478613,2.7818431457039092,-0.0349868713895906,110.0
591.3478644935277,602.4936481809038,2.648480559174941,-0.017856383194598077,115.0
587.0111240592689,604.993365035693,2.6037864636201142,-4.5794889783164394e-05,120.0
587.0,605.0,2.329534141817747,-0.0,125.0
583.5599699026712,608.6285248971824,2.329534141817747,-0.0,130.0
580.1199398053425,612.2570497943648,2.329534141817747,-0.0,135.0
576.6799097080137,615.8855746915472,2.329534141817747,-0.0,140.0
573.239879610685,619.5140995887296,2.329534141817747,-0.0,145.0
569.7998495133563,623.1426244859119,2.329534141817747,-0.0,150.0
566.3598194160276,626.7711493830942,2.329534141817747,-0.0,155.0
562.9197893186988,630.3996742802766,2.329534141817747,-0.0,160.0
559.47975922137,634.028199177459,2.329534141817747,-0.0,165.0
556.0397291240413,637.6567240746414,2.329534141817747,-0.0,170.0
552.5996990267125,641.2852489718238,2.329534141817747,-0.0,175.0
549.1596689293838,644.9137738690061,2.329534141817747,-0.0,180.0
545.719638832055,648.5422987661885,2.329534141817747,-0.0,185.0
542.2796087347263,652.1708236633709,2.329534141817747,-0.0,190.0
538.8395786373975,655.7993485605533,2.329534141817747,-0.0,195.0
535.3995485400688,659.4278734577356,2.329534141817747,-0.0,200.0
531.9595184427401,663.056398354918,2.329534141817747,-0.0,205.0
528.5194883454113,666.6849232521004,2.329534141817747,-0.0,210.0
525.0794582480826,670.3134481492827,2.329534141817747,-0.0,215.0
521.6394281507538,673.9419730464651,2.329534141817747,-0.0,220.0
518.199398053425,677.5704979436475,2.329534141817747,-0.0,225.0
514.7593679560963,681.1990228408299,2.329534141817747,-0.0,230.0
511.31933785876754,684.8275477380123,2.329534141817747,-0.0,235.0
507.87930776143884,688.4560726351947,2.329534141817747,-0.0,240.0
504.4392776641101,692.0845975323771,2.329534141817747,-0.0,245.0
500.9992475667813,695.7131224295595,2.329534141817747,-0.0,250.0
497.5592174694526,699.3416473267417,2.329534141817747,-0.0,255.0
494.11918737212386,702.9701722239241,2.329534141817747,-0.0,260.0
490.6791572747951,706.5986971211065,2.329534141817747,-0.0,265.0
487.23912717746634,710.2272220182889,2.329534141817747,-0.0,270.0
483.7990970801376,713.8557469154713,2.329534141817747,-0.0,275.0
480.3590669828088,717.4842718126537,2.329534141817747,-0.0,280.0
476.91903688548007,721.1127967098361,2.329534141817747,-0.0,285.0
473.47900678815137,724.7413216070184,2.329534141817747,-0.0,290.0
470.0389766908226,728.3698465042008,2.329534141817747,-0.0,295.0
466.59894659349385,731.9983714013831,2.329534141817747,-0.0,300.0
463.15891649616515,735.6268962985655,2.329534141817747,-0.0,305.0
459.7188863988364,739.2554211957479,2.329534141817747,-0.0,310.0
456.27885630150763,742.8839460929303,2.329534141817747,-0.0,315.0
452.8388262041789,746.5124709901127,2.329534141817747,-0.0,320.0
449.3987961068501,750.140995887295,2.329534141817747,-0.0,325.0
445.95876600952136,753.7695207844774,2.329534141817747,-0.0,330.0
442.5187359121926,757.3980456816598,2.329534141817747,-0.0,335.0
441.0,759.0,2.090924839737803,1.3846239611443327e-17,340.0
438.5787500880195,763.4050175494333,2.037999684605405,-0.021316514082823746,345.0
436.66139370712267,767.9925853847122,1.8799109602243413,-0.036690162245403196,350.0
435.539733359776,772.852904785356,1.724564153051601,-0.0256114760223342,355.0
435.0468907004809,777.8764575009898,1.6209555541581557,-0.015698517260616787,360.0
434.99654976867845,782.9305200810094,1.5329314468043962,-0.02283168928636182,365.0
435.52324055783583,787.9050990754586,1.387069869847151,-0.035504691910473674,370.0
436.90098916540217,792.6997124582938,1.1935796348705598,-0.03779493486091821,375.0
