X,Y
1284,744
1283.674952,743.6288767
1283.349897,743.257757
1283.024826,742.8866446
1282.699733,742.5155431
1282.374609,742.1444561
1282.049447,741.7733872
1281.72424,741.4023401
1281.398979,741.0313184
1281.073657,740.6603257
1280.748267,740.2893657
1280.422801,739.918442
1280.09725,739.5475582
1279.771609,739.176718
1279.445868,738.8059249
1279.120021,738.4351826
1278.79406,738.0644948
1278.467977,737.693865
1278.141765,737.3232969
1277.815415,736.9527942
1277.488921,736.5823604
1277.162275,736.2119992
1276.835468,735.8417141
1276.508495,735.4715089
1276.181346,735.1013872
1275.854014,734.7313526
1275.526492,734.3614087
1275.198773,733.9915592
1274.870847,733.6218076
1274.542709,733.2521576
1274.214349,732.8826129
1273.885762,732.5131771
1273.556938,732.1438537
1273.227871,731.7746465
1272.898552,731.405559
1272.568975,731.0365949
1272.239131,730.6677579
1271.909013,730.2990514
1271.578614,729.9304793
1271.247925,729.562045
1270.916939,729.1937523
1270.585649,728.8256047
1270.254047,728.4576059
1269.922124,728.0897596
1269.589875,727.7220692
1269.257291,727.3545386
1268.924364,726.9871712
1268.591086,726.6199708
1268.257451,726.252941
1267.923451,725.8860853
1267.589077,725.5194074
1267.254323,725.152911
1266.919181,724.7865997
1266.583643,724.4204771
1266.247701,724.0545468
1265.911348,723.6888125
1265.574577,723.3232777
1265.237379,722.9579462
1264.899747,722.5928215
1264.561674,722.2279074
1264.223151,721.8632073
1263.884172,721.4987249
1263.544729,721.134464
1263.204813,720.770428
1262.864418,720.4066206
1262.523535,720.0430455
1262.182158,719.6797063
1261.840278,719.3166066
1261.497888,718.95375
1261.154981,718.5911402
1260.811548,718.2287808
1260.467582,717.8666754
1260.123076,717.5048277
1259.778022,717.1432412
1259.432412,716.7819197
1259.086238,716.4208667
1258.739494,716.0600859
1258.392171,715.6995809
1258.044262,715.3393553
1257.695759,714.9794127
1257.346655,714.6197569
1256.996941,714.2603913
1256.646611,713.9013198
1256.295657,713.5425457
1255.944071,713.1840729
1255.591845,712.8259049
1255.238972,712.4680454
1254.885445,712.110498
1254.531255,711.7532663
1254.176396,711.3963539
1253.820858,711.0397645
1253.464636,710.6835017
1253.107721,710.3275692
1252.750105,709.9719705
1252.391782,709.6167093
1252.032742,709.2617892
1251.67298,708.9072139
1251.312487,708.5529869
1250.951255,708.199112
1250.589277,707.8455927
1250.226546,707.4924326
1249.863053,707.1396355
1249.498792,706.7872048
1249.133754,706.4351444
1248.767931,706.0834577
1248.401318,705.7321484
1248.033904,705.3812201
1247.665684,705.0306766
1247.296649,704.6805213
1246.926792,704.3307579
1246.556105,703.9813901
1246.184581,703.6324215
1245.812212,703.2838557
1245.43899,702.9356964
1245.064907,702.5879471
1244.689957,702.2406115
1244.314132,701.8936932
1243.937423,701.5471959
1243.559824,701.2011232
1243.181326,700.8554787
1242.801923,700.510266
1242.421606,700.1654888
1242.040367,699.8211508
1241.6582,699.4772554
1241.275097,699.1338064
1240.891049,698.7908074
1240.50605,698.448262
1240.120092,698.1061739
1239.733169,697.7645454
1239.345302,697.4233658
1238.956526,697.0826166
1238.566878,696.7422788
1238.176392,696.4023337
1237.785105,696.0627625
1237.393052,695.7235465
1237.00027,695.3846668
1236.606794,695.0461046
1236.212659,694.7078413
1235.817902,694.3698579
1235.422559,694.0321358
1235.026665,693.6946561
1234.630256,693.3574
1234.233368,693.0203488
1233.836037,692.6834837
1233.438298,692.3467858
1233.040187,692.0102365
1232.641741,691.6738168
1232.242994,691.3375082
1231.843983,691.0012916
1231.444744,690.6651485
1231.045312,690.3290599
1230.645722,689.9930071
1230.246012,689.6569713
1229.846217,689.3209338
1229.446372,688.9848757
1229.046513,688.6487783
1228.646676,688.3126228
1228.246897,687.9763903
1227.847212,687.6400622
1227.447656,687.3036196
1227.048266,686.9670437
1226.649076,686.6303158
1226.250124,686.2934171
1225.851444,685.9563287
1225.453073,685.619032
1225.055046,685.2815081
1224.657398,684.9437382
1224.260167,684.6057035
1223.863388,684.2673854
1223.467096,683.9287649
1223.071327,683.5898233
1222.676118,683.2505419
1222.281503,682.9109017
1221.887519,682.5708841
1221.494201,682.2304703
1221.101586,681.8896415
1220.709708,681.5483788
1220.318605,681.2066636
1219.928311,680.8644769
1219.538863,680.5218002
1219.150296,680.1786144
1218.762646,679.834901
1218.375949,679.490641
1217.990241,679.1458158
1217.605557,678.8004064
1217.221933,678.4543942
1216.839405,678.1077604
1216.45801,677.7604861
1216.077782,677.4125526
1215.698757,677.0639411
1215.320972,676.7146328
1214.944462,676.364609
1214.569262,676.0138508
1214.19541,675.6623394
1213.822939,675.3100562
1213.451887,674.9569822
1213.082289,674.6030987
1212.714181,674.248387
1212.347599,673.8928282
1211.982578,673.5364035
1211.619155,673.1790942
1211.257364,672.8208815
1210.897242,672.4617467
1210.538825,672.1016708
1210.182149,671.7406352
1209.827249,671.378621
1209.47416,671.0156095
1209.12292,670.6515818
1208.773563,670.2865193
1208.426126,669.9204031
1208.080644,669.5532144
1207.737153,669.1849344
1207.395689,668.8155445
1207.056288,668.4450256
1206.718985,668.0733592
1206.383817,667.7005264
1206.050818,667.3265084
1205.720025,666.9512865
1205.391474,666.5748418
1205.065201,666.1971556
1204.741241,665.818209
1204.419629,665.4379834
1204.100403,665.0564599
1203.783597,664.6736197
1203.469248,664.2894441
1203.157391,663.9039142
1202.848062,663.5170113
1202.541297,663.1287166
1202.237132,662.7390114
1201.935602,662.3478767
1201.636743,661.9552939
1201.340592,661.5612442
1201.047183,661.1657087
1200.756553,660.7686687
1200.468737,660.3701055
1200.183772,659.9700001
1199.901693,659.5683339
1199.622535,659.1650881
1199.346336,658.7602438
1199.073129,658.3537823
1198.802952,657.9456848
1198.535841,657.5359325
1198.271829,657.1245067
1198.010955,656.7113885
1197.753253,656.2965592
1197.498759,655.8799999
1197.24751,655.461692
1196.99954,655.0416165
1196.754886,654.6197548
1196.513583,654.196088
1196.275668,653.7705974
1196.041175,653.3432642
1195.810142,652.9140695
1195.582603,652.4829947
1195.358595,652.0500209
1195.138153,651.6151293
1194.921313,651.1783012
1194.70811,650.7395177
1194.498582,650.2987602
1194.292763,649.8560097
1194.090689,649.4112475
1193.892396,648.9644549
1193.69792,648.515613
1193.507297,648.0647031
1193.320562,647.6117064
1193.137752,647.156604
1192.958901,646.6993773
1192.784047,646.2400074
1192.613224,645.7784756
1192.446468,645.314763
1192.283816,644.8488508
1192.125303,644.3807204
1191.970965,643.910353
1191.820828,643.4377517
1191.674897,642.96297
1191.533174,642.4860681
1191.395661,642.0071065
1191.262361,641.5261455
1191.133274,641.0432455
1191.008404,640.5584667
1190.887751,640.0718696
1190.771319,639.5835145
1190.659108,639.0934618
1190.551122,638.6017718
1190.447361,638.1085049
1190.347828,637.6137214
1190.252525,637.1174817
1190.161453,636.6198462
1190.074616,636.1208751
1189.992014,635.6206289
1189.91365,635.1191679
1189.839525,634.6165525
1189.769642,634.112843
1189.704003,633.6080997
1189.642609,633.1023831
1189.585463,632.5957535
1189.532566,632.0882712
1189.483921,631.5799966
1189.439529,631.07099
1189.399393,630.5613118
1189.363514,630.0510224
1189.331894,629.5401821
1189.304536,629.0288513
1189.281441,628.5170903
1189.262611,628.0049594
1189.248048,627.4925191
1189.237754,626.9798297
1189.231732,626.4669515
1189.229983,625.9539449
1189.232509,625.4408703
1189.239312,624.9277879
1189.250394,624.4147583
1189.265757,623.9018416
1189.285402,623.3890983
1189.309333,622.8765887
1189.337551,622.3643732
1189.370058,621.8525121
1189.406855,621.3410659
1189.447945,620.8300947
1189.49333,620.3196591
1189.543012,619.8098193
1189.596992,619.3006357
1189.655273,618.7921687
1189.717857,618.2844786
1189.784746,617.7776257
1189.855941,617.2716705
1189.931444,616.7666733
1190.011258,616.2626944
1190.095385,615.7597942
1190.183826,615.258033
1190.276583,614.7574713
1190.373659,614.2581693
1190.475055,613.7601874
1190.580773,613.2635859
1190.690816,612.7684253
1190.805185,612.2747659
1190.923882,611.782668
1191.04691,611.292192
1191.17427,610.8033982
1191.305963,610.316347
1191.441993,609.8310987
1191.582361,609.3477138
1191.727069,608.8662525
1191.876119,608.3867752
1192.029513,607.9093422
1192.187237,607.4339894
1192.349239,606.960697
1192.515462,606.4894374
1192.685851,606.020183
1192.860348,605.5529062
1193.038896,605.0875794
1193.221441,604.624175
1193.407923,604.1626654
1193.598288,603.703023
1193.792478,603.2452202
1193.990437,602.7892294
1194.192109,602.3350231
1194.397436,601.8825735
1194.606362,601.4318532
1194.818831,600.9828345
1195.034786,600.5354898
1195.25417,600.0897916
1195.476927,599.6457121
1195.703,599.2032239
1195.932332,598.7622994
1196.164868,598.3229108
1196.400549,597.8850307
1196.639321,597.4486315
1196.881126,597.0136854
1197.125907,596.580165
1197.373609,596.1480427
1197.624174,595.7172908
1197.877545,595.2878817
1198.133667,594.8597879
1198.392483,594.4329818
1198.653935,594.0074357
1198.917968,593.583122
1199.184525,593.1600132
1199.453549,592.7380817
1199.724984,592.3172998
1199.998773,591.89764
1200.274859,591.4790746
1200.553187,591.0615762
1200.833698,590.6451169
1201.116337,590.2296694
1201.401048,589.8152059
1201.687773,589.4016989
1201.976456,588.9891208
1202.26704,588.577444
1202.559469,588.1666408
1202.853686,587.7566837
1203.149635,587.3475451
1203.447259,586.9391974
1203.746501,586.531613
1204.047304,586.1247643
1204.349613,585.7186237
1204.653371,585.3131635
1204.958521,584.9083563
1205.265006,584.5041744
1205.57277,584.1005901
1205.881756,583.697576
1206.191908,583.2951043
1206.503169,582.8931476
1206.815482,582.4916782
1207.128791,582.0906685
1207.44304,581.6900909
1207.758171,581.2899178
1208.074128,580.8901217
1208.390855,580.4906748
1208.708294,580.0915497
1209.02639,579.6927187
1209.345086,579.2941542
1209.664325,578.8958287
1209.98405,578.4977145
1210.304205,578.099784
1210.624734,577.7020097
1210.945579,577.3043639
1211.266685,576.906819
1211.587994,576.5093474
1211.90945,576.1119216
1212.230997,575.7145143
1212.552579,575.3171017
1212.874143,574.9196618
1213.195634,574.5221726
1213.516999,574.1246124
1213.838183,573.7269592
1214.159132,573.329191
1214.479792,572.9312859
1214.800109,572.5332221
1215.12003,572.1349777
1215.439499,571.7365306
1215.758463,571.3378591
1216.076868,570.9389411
1216.394659,570.5397548
1216.711783,570.1402783
1217.028185,569.7404897
1217.343812,569.3403669
1217.65861,568.9398882
1217.972523,568.5390317
1218.285499,568.1377753
1218.597482,567.7360972
1218.90842,567.3339755
1219.218258,566.9313882
1219.526942,566.5283135
1219.834417,566.1247295
1220.14063,565.7206141
1220.445527,565.3159456
1220.749053,564.910702
1221.051155,564.5048614
1221.351778,564.0984018
1221.650869,563.6913014
1221.948373,563.2835383
1222.244235,562.8750904
1222.538403,562.4659361
1222.830822,562.0560532
1223.121438,561.6454199
1223.410197,561.2340143
1223.697045,560.8218145
1223.981927,560.4087986
1224.26479,559.9949445
1224.545579,559.5802306
1224.824241,559.1646347
1225.100721,558.7481351
1225.374966,558.3307098
1225.64692,557.9123368
1225.916531,557.4929943
1226.183744,557.0726604
1226.448505,556.6513131
1226.71076,556.2289306
1226.970454,555.8054909
1227.227535,555.3809721
1227.481947,554.9553523
1227.733636,554.5286095
1227.982549,554.100722
1228.228632,553.6716677
1228.47183,553.2414247
1228.712089,552.8099712
1228.949355,552.3772852
1229.183575,551.9433448
1229.414693,551.5081281
1229.642657,551.0716132
1229.867411,550.6337781
1230.088902,550.1946011
1230.307076,549.75406
1230.521879,549.3121331
1230.733256,548.8687984
1230.941153,548.424034
1231.145517,547.977818
