X,Y,yaw,K,s
684.0,703.0,2.3444303270425864,-0.0,0.0
670.0252095224967,717.3075235841106,2.3444303270425864,-0.0,20.0
656.0504190449933,731.6150471682212,2.3444303270425864,-0.0,40.0
642.0756285674898,745.9225707523318,2.3444303270425864,-0.0,60.0
628.1008380899865,760.2300943364424,2.3444303270425864,-0.0,80.0
614.1260476124831,774.537617920553,2.3444303270425864,-0.0,100.0
600.1512571349797,788.8451415046636,2.3444303270425864,-0.0,120.0
586.1764666574763,803.1526650887743,2.3444303270425864,-0.0,140.0
572.201676179973,817.4601886728848,2.3444303270425864,-0.0,160.0
558.2268857024696,831.7677122569954,2.3444303270425864,-0.0,180.0
540.5964656534561,841.7564817643272,2.876864028848562,0.031359780911926316,200.0
520.6718308946405,841.007709940151,-2.8023511420685976,0.026570537636427482,220.0
507.0,834.0,-2.609868586330988,0.0,240.0
489.76131569684463,823.8595974687321,-2.609868586330988,0.0,260.0
472.5226313936892,813.7191949374643,-2.609868586330988,0.0,280.0
455.28394709053384,803.5787924061964,-2.609868586330988,0.0,300.0
439.0,794.0,-2.0356978935761414,0.0,320.0
434.2403583521678,775.0216763006754,-1.4161744200932267,0.0351243695079264,340.0
437.0,765.0,-0.8148014516014535,0.0,360.0
450.72025737378004,750.4482118762938,-0.8148014516014535,0.0,380.0
464.4405147475601,735.8964237525878,-0.8148014516014535,0.0,400.0
478.16077212134013,721.3446356288816,-0.8148014516014535,0.0,420.0
491.8810294951202,706.7928475051756,-0.8148014516014535,0.0,440.0
503.0,695.0,-0.4955333876538376,5.5134950442255913e-17,460.0
521.8527654738177,688.7565911936566,-0.03160459868977272,0.030637613270619344,480.0
541.0,693.0,0.5191461142465229,0.0,500.0
558.3648628424892,702.9227787671367,0.5191461142465229,0.0,520.0
575.7297256849783,712.8455575342733,0.5191461142465229,0.0,540.0
583.0,717.0,0.25824977844235036,3.468079925400972e-18,560.0
602.6610460537879,717.5043594072341,-0.3526824714979465,-0.032878091911209724,580.0
618.0,708.0,-0.9031307382015419,0.0,600.0
630.3830906887457,692.2946166874444,-0.9031307382015419,0.0,620.0
642.7661813774914,676.5892333748889,-0.9031307382015419,0.0,640.0
655.1492720662372,660.8838500623333,-0.9031307382015419,0.0,660.0
659.0,656.0,-1.1182562835445164,-8.279242668158848e-17,680.0
662.3859085238923,636.6710014178464,-1.8413048415793833,-0.045523168917704,700.0
650.1198719452664,621.0913073409351,-2.4899090454700854,-0.009816271089771504,720.0
633.6424727130296,610.0162740530225,-2.570966667202726,0.0019176430321277426,740.0
617.2919940878397,597.931189947437,-2.3337258842801973,0.0431762547738282,760.0
615.4198362121068,579.1454968689179,-1.0908198485618221,0.04824244480161387,780.0
624.0,569.0,-0.7983844463176207,0.0,800.0
637.9572945382085,554.6754082371017,-0.7983844463176207,0.0,820.0
651.9145890764172,540.3508164742035,-0.7983844463176207,0.0,840.0
