X,Y,yaw,K,s
682.0,667.0,-2.562877708676594,0.0,0.0
677.8141689999205,664.2652570799481,-2.562877708676594,0.0,5.0
673.6283379998412,661.5305141598963,-2.562877708676594,0.0,10.0
669.4425069997617,658.7957712398443,-2.562877708676594,0.0,15.0
665.2566759996822,656.0610283197924,-2.562877708676594,0.0,20.0
661.0708449996029,653.3262853997405,-2.562877708676594,0.0,25.0
656.8850139995234,650.5915424796887,-2.562877708676594,0.0,30.0
652.6991829994439,647.8567995596367,-2.562877708676594,0.0,35.0
648.5133519993645,645.1220566395848,-2.562877708676594,0.0,40.0
644.3275209992851,642.3873137195329,-2.562877708676594,0.0,45.0
640.1416899992056,639.652570799481,-2.562877708676594,0.0,50.0
635.9558589991262,636.9178278794291,-2.562877708676594,0.0,55.0
631.7700279990468,634.1830849593772,-2.562877708676594,0.0,60.0
627.5841969989673,631.4483420393253,-2.562877708676594,0.0,65.0
623.3983659988879,628.7135991192735,-2.562877708676594,0.0,70.0
619.2125349988085,625.9788561992216,-2.562877708676594,0.0,75.0
615.026703998729,623.2441132791696,-2.562877708676594,0.0,80.0
610.8408729986496,620.5093703591177,-2.562877708676594,0.0,85.0
607.0,618.0,-3.0032690283014665,2.7327412961257044e-17,90.0
602.016275473732,617.3542080061885,-3.031723963269354,-0.011391487203421542,95.0
597.0337956162684,616.9966217555556,-3.1180265764530226,-0.023206857273404435,100.0
592.0553263843251,617.1997457775113,3.036662626182033,-0.02383269769539047,105.0
587.1071639093682,617.9932296486746,2.934035884245273,-0.017228100829413628,110.0
582.2340586159848,619.2156731907024,2.8624451088454856,-0.011504499180786512,115.0
577.4581540658205,620.7139732060502,2.816743773319669,-0.006718726436987902,120.0
572.7436304695443,622.3687838127134,2.795383725147617,-0.0018234659763798795,125.0
571.0,623.0,2.32679120198834,-0.0,130.0
567.569935656555,626.6379470309265,2.32679120198834,-0.0,135.0
564.13987131311,630.275894061853,2.32679120198834,-0.0,140.0
560.709806969665,633.9138410927795,2.32679120198834,-0.0,145.0
557.2797426262199,637.5517881237062,2.32679120198834,-0.0,150.0
553.8496782827749,641.1897351546327,2.32679120198834,-0.0,155.0
550.4196139393299,644.8276821855592,2.32679120198834,-0.0,160.0
546.9895495958849,648.4656292164857,2.32679120198834,-0.0,165.0
543.5594852524399,652.1035762474122,2.32679120198834,-0.0,170.0
540.1294209089949,655.7415232783387,2.32679120198834,-0.0,175.0
536.6993565655499,659.3794703092652,2.32679120198834,-0.0,180.0
533.2692922221049,663.0174173401919,2.32679120198834,-0.0,185.0
529.8392278786598,666.6553643711184,2.32679120198834,-0.0,190.0
526.4091635352148,670.2933114020449,2.32679120198834,-0.0,195.0
522.9790991917698,673.9312584329714,2.32679120198834,-0.0,200.0
519.5490348483248,677.5692054638979,2.32679120198834,-0.0,205.0
516.1189705048798,681.2071524948244,2.32679120198834,-0.0,210.0
512.6889061614348,684.8450995257509,2.32679120198834,-0.0,215.0
509.2588418179898,688.4830465566774,2.32679120198834,-0.0,220.0
505.8287774745448,692.1209935876041,2.32679120198834,-0.0,225.0
502.3987131310998,695.7589406185306,2.32679120198834,-0.0,230.0
498.96864878765473,699.3968876494571,2.32679120198834,-0.0,235.0
495.53858444420973,703.0348346803836,2.32679120198834,-0.0,240.0
492.10852010076474,706.6727817113101,2.32679120198834,-0.0,245.0
488.67845575731974,710.3107287422366,2.32679120198834,-0.0,250.0
485.2483914138747,713.9486757731631,2.32679120198834,-0.0,255.0
481.8183270704297,717.5866228040898,2.32679120198834,-0.0,260.0
478.3882627269847,721.2245698350163,2.32679120198834,-0.0,265.0
474.95819838353964,724.8625168659428,2.32679120198834,-0.0,270.0
471.52813404009464,728.5004638968693,2.32679120198834,-0.0,275.0
468.09806969664965,732.1384109277958,2.32679120198834,-0.0,280.0
464.66800535320465,735.7763579587223,2.32679120198834,-0.0,285.0
461.23794100975965,739.4143049896488,2.32679120198834,-0.0,290.0
457.8078766663146,743.0522520205755,2.32679120198834,-0.0,295.0
454.3778123228696,746.690199051502,2.32679120198834,-0.0,300.0
450.9477479794246,750.3281460824285,2.32679120198834,-0.0,305.0
447.51768363597955,753.966093113355,2.32679120198834,-0.0,310.0
444.08761929253455,757.6040401442815,2.32679120198834,-0.0,315.0
440.65755494908956,761.2419871752081,2.32679120198834,-0.0,320.0
439.0,763.0,1.9470244792197537,2.467969285996168e-17,325.0
437.20171681814423,767.6678696115259,1.921499007753369,-0.010216133468007343,330.0
435.64470513825694,772.4196801994148,1.8449314320969772,-0.020327367359460523,335.0
434.56886615618816,777.3350046827236,1.7218268050658507,-0.027280651406763175,340.0
434.1776893672577,782.377348196521,1.569570994693531,-0.03324603476119039,345.0
434.6353059618807,787.3847553462853,1.3833014689155847,-0.040885791979069205,350.0
436.0866219823613,792.1908490630735,1.1739326873221323,-0.03938840529084285,355.0
438.47838076631683,796.6502399870095,0.9869922739799027,-0.034757861275936726,360.0
441.63067271024073,800.6309527610427,0.8168483326305105,-0.032638186508984424,365.0
445.36322981484767,804.0116676619343,0.6588160628494024,-0.02843949950535193,370.0
449.51954852002217,806.8170181863325,0.5349868821770515,-0.020865527220567295,375.0
453.96060337734247,809.1789825344982,0.44881412298050394,-0.013474471693576545,380.0
458.54782249165254,811.2319855152234,0.39836164599860385,-0.007477358681244933,385.0
463.1831323996687,813.0770330274916,0.3584200065513183,-0.00850118960501523,390.0
467.88239725188225,814.721110765986,0.31402652740910547,-0.009284391133137322,395.0
472.6813717545428,816.1547909333564,0.2661908405716234,-0.009759064306775325,400.0
477.6150005940881,817.3676984045355,0.21475465225872395,-0.011558509961636342,405.0
482.66619640295977,818.2886059540637,0.14092108181539179,-0.01740655234098024,410.0
487.7351849685228,818.7495831166249,0.03413219434554276,-0.0248709643181432,415.0
492.7148356875666,818.5740960414233,-0.11231028356916706,-0.034140557791456666,420.0
497.49895159631626,817.5877921642796,-0.2985145168720265,-0.03772186025928334,425.0
502.04359649697096,815.7617804025583,-0.4563912676577987,-0.026546423148477608,430.0
506.4051099247674,813.3014465326116,-0.5618788258511863,-0.01585342170949194,435.0
510.6489136668083,810.4333954371018,-0.6189179836154697,-0.006667361245067014,440.0
514.0,808.0,-0.8076167287241673,0.0,445.0
517.4561132298368,804.3867907142615,-0.8076167287241673,0.0,450.0
520.9122264596737,800.773581428523,-0.8076167287241673,0.0,455.0
